תאריך עסקה,שם בית עסק,"סכום בש""ח",מועד חיוב,סוג עסקה,מזהה כרטיס בארנק דיגילטי,הנחה,הערות
2024-09-20,KUHN'S MCKNIGHT,178.6,2024-09-23,רגילה,,,סכום העסקה הוא 46.1 $ עסקה בחיוב מיידי
2024-09-17,PARKING IN PITTSBURGH,3.88,2024-09-19,רגילה,,,סכום העסקה הוא 1.0 $ עסקה בחיוב מיידי
2024-09-12,RAILWAY,124.77,2024-09-13,רגילה,3926,,סכום העסקה הוא 32.31 $ עסקה בחיוב מיידי
2024-09-11,PARKING IN PITTSBURGH,30.89,2024-09-13,רגילה,,,סכום העסקה הוא 8.0 $ עסקה בחיוב מיידי
2024-09-11,STATION SQ GARAGE,30.52,2024-09-15,רגילה,,,סכום העסקה הוא 8.0 $ עסקה בחיוב מיידי
2024-09-10,MTA*LIRR ETIX TICKET,19.36,2024-09-12,רגילה,5815,,סכום העסקה הוא 5.0 $ עסקה בחיוב מיידי
2024-09-09,Google One,8.0,2024-10-02,רגילה,,,
2024-09-09,MTA*NYCT PAYGO,11.23,2024-09-12,רגילה,5815,,סכום העסקה הוא 2.9 $ עסקה בחיוב מיידי
2024-09-09,MTA*NYCT PAYGO,11.23,2024-09-12,רגילה,5815,,סכום העסקה הוא 2.9 $ עסקה בחיוב מיידי
2024-09-09,MTA*NYCT PAYGO,11.23,2024-09-12,רגילה,5815,,סכום העסקה הוא 2.9 $ עסקה בחיוב מיידי
2024-09-08,"Groupon, Inc.",38.61,2024-09-10,רגילה,5815,,סכום העסקה הוא 10.0 $ עסקה בחיוב מיידי
2024-09-08,PLNT BURGER - 11 WEST,37.8,2024-09-10,רגילה,5815,,סכום העסקה הוא 9.79 $ עסקה בחיוב מיידי
2024-09-07,SPIRIT48704079830290,496.24,2024-09-12,רגילה,,,סכום העסקה הוא 127.99 $ עסקה בחיוב מיידי
2024-09-07,UBER *TRIP,45.51,2024-09-08,רגילה,,,סכום העסקה הוא 11.94 $ עסקה בחיוב מיידי
2024-09-06,OMNY VENDING*,48.02,2024-09-08,רגילה,5815,,סכום העסקה הוא 12.6 $ עסקה בחיוב מיידי
2024-09-06,MTA*LIRR ONBOARDTICKET,15.25,2024-09-08,רגילה,,,סכום העסקה הוא 4.0 $ עסקה בחיוב מיידי
2024-09-06,Amazon Go,11.01,2024-09-08,רגילה,,,סכום העסקה הוא 2.89 $ עסקה בחיוב מיידי
2024-09-06,MTA*LIRR STATION TIX,74.32,2024-09-09,רגילה,5815,,סכום העסקה הוא 19.5 $ עסקה בחיוב מיידי
2024-09-06,MAIDEN GROCERY CORP,21.8,2024-09-09,רגילה,,,סכום העסקה הוא 5.72 $ עסקה בחיוב מיידי
2024-09-05,EXPSBERNA3,5.3,2024-09-08,רגילה,5815,,סכום העסקה הוא 1.25 € עסקה בחיוב מיידי
2024-09-05,EXPSBERNA3,-6.18,2024-09-09,זיכוי,5815,,סכום העסקה הוא 1.5 € החזר מיידי
2024-09-05,EXPSBERNA3,19.96,2024-09-08,רגילה,5815,,סכום העסקה הוא 4.71 € עסקה בחיוב מיידי
2024-09-05,EXPSBERNA3,12.71,2024-09-08,רגילה,5815,,סכום העסקה הוא 3.0 € עסקה בחיוב מיידי
