שם בית עסק,תאריכים,מספר עסקאות,סכום כולל
23 ROBADORS,2024-05-18,2,45.64
AEGEAN AI0000000PBNVEJ,2024-05-18,1,327.5
AFOI BAIRAKTARI AE,2024-05-05 - 2024-05-29,8,437.23
AIR EUROP,2024-08-30,1,3106.1
AMAZON MKTPL*ZT4YV1PR1,2024-09-05,1,99.19
ANAGNOSTOPOULOU KO,2024-06-03,1,14.43
APEX TRADER FUNDING,2024-05-15 - 2024-07-24,4,1896.98
APEXTRADERFUNDING,2024-03-27 - 2024-08-30,42,7310.93
ATHER,2024-05-06 - 2024-05-27,2,23.06
ATLANTIKOS,2024-05-24,1,63.77
Amazon Go,2024-09-06,1,11.01
Astiko Ktel Kerkiras,2024-05-13,1,16.51
BABA RESTAURANTE,2024-05-18,1,18.67
BAZAR SUNNY,2024-05-19,1,68.05
BCN HOSTEL SPORT SL,2024-05-18,1,19.42
BE AGENT TRAVEL,2024-05-01,1,387.84
BELUSHI S,2024-05-12 - 2024-05-13,2,33.03
BISTRO PAROCHES YPIR,2024-05-07,1,99.12
BIT,2024-04-10 - 2024-07-18,6,6327.0
BKG*HOTEL AT BOOKING.C,2024-05-07 - 2024-06-14,7,1274.24
BLACK SWAN HOSTEL SEVI,2024-05-19 - 2024-05-20,2,221.89
BLUE BIRD AIRLINES,2024-06-18,1,102.63
BODEGA GONGORA,2024-05-21,1,31.73
BOZIKI MARIA,2024-05-11,1,55.72
BP,2024-05-10,1,235.28
CARDLINK ONE*ATTIKA,2024-05-06,1,19.29
CARJET.COM,2024-05-09,1,129.49
CHAMPIONS BURGER,2024-05-17,1,51.86
CHEN BIN,2024-06-04,1,91.68
COCO MAT BIKE,2024-05-25 - 2024-05-28,2,53.94
CONSUM BARNA SANTS,2024-05-17,1,7.88
CORDOVA FORUM,2024-05-17,1,12.45
CRAZY FASHION,2024-05-13,1,61.93
CROISSANTERIE DEL PI,2024-05-13,1,26.01
DAWN CAFE,2024-05-18,1,22.82
EGNATIA,2024-06-08,1,29.97
EL RACO ART DEL TEATRE,2024-05-14,1,18.52
EL SIRIO,2024-05-21,1,25.8
ELEMENTOR,2024-08-08,1,239.0
EMPANADAS MALVON,2024-05-19 - 2024-05-21,2,46.94
EPIRUS RENTING,2024-06-03 - 2024-06-05,2,292.87
EVAG RAMNALHS EDI SIRA,2024-06-07,1,29.28
EVROPAIKA ARTOPOIEIA,2024-05-08,1,8.26
EXPHARINAS,2024-05-21,1,52.61
EXPRESS MARKET,2024-06-02,1,48.62
EXPSBERNA3,2024-09-05,4,31.79
Eurail,2024-06-11,1,651.25
FOOD KALOGEROPOULOS,2024-06-08,1,14.64
FOTIOS KOUVAS,2024-05-26,1,15.63
FULL CIRCLE,2024-05-26,1,16.46
GERMANOS 10111 00001 A,2024-05-27,1,61.83
GHOSTHOUSE,2024-05-23,1,32.73
GLYKOPOULOS PANAGI,2024-05-25,1,8.23
GRANDE,2024-05-06,2,69.38
GREEK FERRIES CLUB,2024-06-10,1,458.35
GUICHOC 7,2024-05-20,1,40.23
Gate Gourmet,2024-09-05,1,12.65
Georgios Papavlasopoul,2024-05-12,1,33.03
Google One,2024-08-09 - 2024-09-09,2,16.0
Google Storage,2024-04-09 - 2024-07-09,4,32.0
"Groupon, Inc.",2024-09-08,1,38.61
HBB,2024-07-25,1,64.0
HELLENIC TRAIN SA,2024-05-30 - 2024-06-09,2,260.96
HOSTEL BARAJAS MADRID,2024-09-03,1,100.39
HOTEL IDEAL,2024-06-16,1,225.75
Hotel at Booking.com,2024-06-14,1,172.18
ICLIMB-ראשון לציון,2024-04-23,2,648.0
ICONIC ATIENS IOST,2024-05-22,1,316.32
IDANIKO,2024-06-04,1,7.47
ISKENDER,2024-05-13,1,31.79
ISRAILITIKI_KOINOTITA_,2024-06-07,1,33.46
Iryo,2024-05-18,1,429.38
K KONTARGYRIS KAI S,2024-06-06,1,20.91
KAFENEION TO 111,2024-05-08,1,19.82
KASKANI ATHINA,2024-06-05,1,12.55
KITSOGLOU I PARASKEV,2024-06-05,1,140.23
KOULOURADES,2024-05-25 - 2024-05-30,6,58.09
KRETSIS FOTIOS 1667,2024-06-03,1,10.31
KUHN'S MCKNIGHT ROAD PITTSBURGH USA,2024-09-21,0,0.0
LA FABRICA,2024-05-14,1,12.3
LA GULA ARGENTINA,2024-05-17,1,14.52
LA PIZZETTA,2024-05-24,1,10.23
LICENCIA 06337,2024-09-04,1,139.17
LIOUBOS ALEXANDROS,2024-06-05,1,50.01
LOUKOUMADES STORES,2024-05-05,1,23.64
MAIDEN GROCERY CORP,2024-09-06,1,21.8
MAILOS,2024-05-05 - 2024-05-29,3,95.22
MARINOPOULOS COFFEE CO,2024-05-07,1,27.08
MARKET IN KALAMPAKA M4,2024-05-30 - 2024-06-01,3,86.39
METRO BARCELONA,2024-05-15 - 2024-05-18,2,62.64
MIKEL CORFU CENTER,2024-05-12,1,18.58
MILK AWAY,2024-05-20,1,16.01
MOLLAH MOSTAFIZOR,2024-05-23 - 2024-05-28,2,55.39
MONBUS,2024-05-12,1,29.93
MONGODBCLOUD AGENTS...,2024-04-02 - 2024-09-02,3,160.01
MOUSEIO AKROPOLIS,2024-05-03,1,61.65
MR FOCACCIA,2024-05-15,1,14.82
MTA*LIRR ETIX TICKET,2024-09-10,1,19.36
MTA*LIRR ONBOARDTICKET,2024-09-06,1,15.25
