תאריך,הפעולה,פרטים,מהות הפעולה,רווח
25/04/2025,כאל,כאל,כרטיס אשראי,-48.72
23/04/2025,ביטוח לאומי,ביטוח לאומי,ביטוח לאומי,-3295.0
22/04/2025,כאל,כאל,כרטיס אשראי,-11.36
20/04/2025,כאל,כאל,כרטיס אשראי,-75.96
15/04/2025,כאל,כאל,כרטיס אשראי,-37.92
08/04/2025,כאל,כאל,כרטיס אשראי,-112.53
06/04/2025,כאל,כאל,כרטיס אשראי,-5.13
03/04/2025,ע.מפעולות-ישיר,ע.מפעולות-ישיר,עמלות חשבון,-9.62
02/04/2025,כאל,כאל,כרטיס אשראי,-1322.46
02/04/2025,העברה נכנסת,סיליקון אדוויס והשקעות ב,משכורת,15000.0
31/03/2025,כאל,כאל,כרטיס אשראי,-185.75
25/03/2025,כאל,כאל,כרטיס אשראי,-31.24
23/03/2025,ביטוח לאומי,ביטוח לאומי,ביטוח לאומי,-3295.0
20/03/2025,"מע""מ","מע""מ",מעמ,-4455.0
20/03/2025,מס הכנסה עצמאי,מס הכנסה עצמאי,מס הכנסה,-3178.0
18/03/2025,ביטוח לאומי,ביטוח לאומי,ביטוח לאומי,-107.0
18/03/2025,כאל,כאל,כרטיס אשראי,-75.38
17/03/2025,כאל,כאל,כרטיס אשראי,114.3
16/03/2025,כאל,כאל,כרטיס אשראי,65.48
10/03/2025,כאל,כאל,כרטיס אשראי,-36.33
09/03/2025,כאל,כאל,כרטיס אשראי,-228.75
06/03/2025,כאל,כאל,כרטיס אשראי,-99.66
06/03/2025,העברה נכנסת,סיליקון אדוויס והשקעות ב,משכורת,15000.0
05/03/2025,כאל,כאל,כרטיס אשראי,-80.47
04/03/2025,כאל,כאל,כרטיס אשראי,16.89
03/03/2025,ע.מפעולות-ישיר,ע.מפעולות-ישיר,עמלות חשבון,-16.62
02/03/2025,כאל,כאל,כרטיס אשראי,-1168.15
28/02/2025,כאל,כאל,כרטיס אשראי,-138.28
27/02/2025,כאל,כאל,כרטיס אשראי,-207.22
26/02/2025,כאל,כאל,כרטיס אשראי,-7.37
25/02/2025,כאל,כאל,כרטיס אשראי,-1492.87
24/02/2025,מס הכנסה עצמאי,מס הכנסה עצמאי,מס הכנסה,-3178.0
23/02/2025,ביטוח לאומי,ביטוח לאומי,ביטוח לאומי,-3293.0
23/02/2025,כאל,כאל,כרטיס אשראי,-532.64
20/02/2025,כאל,כאל,כרטיס אשראי,-179.41
18/02/2025,כאל,כאל,כרטיס אשראי,-64.03
17/02/2025,כאל,כאל,כרטיס אשראי,-2344.02
14/02/2025,העברה יוצאת,בר-חן ליאור ו/או לירון,העברה יוצאת,-9000.0
14/02/2025,העברה יוצאת,יעל בר-חן,העברה יוצאת,-9250.0
13/02/2025,כאל,כאל,כרטיס אשראי,-377.15
12/02/2025,כאל,כאל,כרטיס אשראי,177.09
10/02/2025,כאל,כאל,כרטיס אשראי,-1468.35
09/02/2025,כאל,כאל,כרטיס אשראי,-50.35
07/02/2025,כאל,כאל,כרטיס אשראי,-226.61
05/02/2025,העברה נכנסת,סיליקון אדוויס והשקעות ב,משכורת,15000.0
04/02/2025,כאל,כאל,כרטיס אשראי,-487.16
03/02/2025,ע.מפעולות-ישיר,ע.מפעולות-ישיר,עמלות חשבון,-13.11
03/02/2025,העברה נכנסת,"קולמקס פרו בע""",העברה נכנסת,8663.85
02/02/2025,כאל,כאל,כרטיס אשראי,-873.41
30/01/2025,כאל,כאל,כרטיס אשראי,-13.89
28/01/2025,כאל,כאל,כרטיס אשראי,-494.4
27/01/2025,כאל (תאריך ערך: 26/01),כאל (תאריך ערך: 26/01),כרטיס אשראי,-76.74
